Store_Dept_Date,Weekly_Sales
1_2_2013-03-15,45910.65517241379
1_2_2013-03-22,50980.12643678161
1_2_2013-03-29,48924.19540229885
1_2_2013-04-05,48634.9540229885
1_2_2013-04-12,43066.55172413793
1_2_2013-04-19,44772.620689655174
1_2_2013-04-26,45387.988505747126
1_2_2013-05-03,50082.724137931036
1_2_2013-05-10,47081.597701149425
1_2_2013-05-17,45483.862068965514
1_2_2013-05-24,49522.528735632186
1_2_2013-05-31,46665.44827586207
1_2_2013-06-07,48472.206896551725
1_2_2013-06-14,47493.206896551725
1_2_2013-06-21,47221.64367816092
1_2_2013-06-28,45228.24137931035
1_2_2013-07-05,50487.85057471264
1_2_2013-07-12,45962.64367816092
1_2_2013-07-19,45275.71264367816
1_2_2013-07-26,44543.48275862069
1_3_2012-11-02,11937.793103448275
1_3_2012-11-09,10951.954022988506
1_3_2012-11-16,12844.379310344828
1_3_2012-11-23,10785.80459770115
1_3_2012-11-30,10030.51724137931
1_3_2012-12-07,12421.333333333334
1_3_2012-12-14,13015.413793103447
1_3_2012-12-21,10920.770114942528
1_3_2012-12-28,11554.379310344828
1_3_2013-01-04,11493.666666666666
1_3_2013-01-11,12558.747126436781
1_3_2013-01-18,12377.16091954023
1_3_2013-01-25,11464.183908045978
1_3_2013-02-01,11952.229885057472
1_3_2013-02-08,12111.528735632184
1_3_2013-02-15,13202.218390804597
1_3_2013-02-22,13169.666666666666
1_3_2013-03-01,12120.48275862069
1_3_2013-03-08,13671.908045977012
1_3_2013-03-15,10648.954022988506
1_3_2013-03-22,11236.747126436781
1_3_2013-03-29,11638.298850574713
1_3_2013-04-05,11244.747126436781
1_3_2013-04-12,10790.19540229885
1_3_2013-04-19,9313.19540229885
1_3_2013-04-26,10096.241379310344
1_3_2013-05-03,11201.793103448275
1_3_2013-05-10,10688.402298850575
1_3_2013-05-17,14219.356321839081
1_3_2013-05-24,17736.505747126437
1_3_2013-05-31,28988.540229885057
1_3_2013-06-07,14220.862068965518
1_3_2013-06-14,24986.44827586207
1_3_2013-06-21,30204.32183908046
1_3_2013-06-28,28867.367816091955
1_3_2013-07-05,17717.850574712644
1_3_2013-07-12,21450.367816091955
1_3_2013-07-19,15342.965517241379
1_3_2013-07-26,20137.126436781607
1_4_2012-11-02,39339.206896551725
1_4_2012-11-09,38394.77011494253
1_4_2012-11-16,40154.379310344826
1_4_2012-11-23,41857.58620689655
1_4_2012-11-30,40349.597701149425
1_4_2012-12-07,40362.90804597701
1_4_2012-12-14,37675.402298850575
1_4_2012-12-21,38296.574712643676
1_4_2012-12-28,41024.50574712644
1_4_2013-01-04,38436.2183908046
1_4_2013-01-11,37099.425287356324
1_4_2013-01-18,36244.11494252874
1_4_2013-01-25,37196.12643678161
1_4_2013-02-01,40196.35632183908
1_4_2013-02-08,40117.942528735635
1_4_2013-02-15,37121.206896551725
1_4_2013-02-22,36013.06896551724
1_4_2013-03-01,36042.31034482759
1_4_2013-03-08,39805.057471264365
1_4_2013-03-15,37025.252873563215
1_4_2013-03-22,39373.93103448276
1_4_2013-03-29,39005.9540229885
1_4_2013-04-05,40593.793103448275
1_4_2013-04-12,36943.816091954024
1_4_2013-04-19,38277.97701149425
1_4_2013-04-26,38285.48275862069
1_4_2013-05-03,42040.16091954023
1_4_2013-05-10,37400.83908045977
1_4_2013-05-17,37713.49425287356
1_4_2013-05-24,41542.22988505747
1_4_2013-05-31,41025.31034482759
1_4_2013-06-07,40345.0
1_4_2013-06-14,38610.0459770115
1_4_2013-06-21,38987.379310344826
1_4_2013-06-28,36740.24137931035
1_4_2013-07-05,42924.31034482759
1_4_2013-07-12,38296.724137931036
1_4_2013-07-19,37933.75862068965
1_4_2013-07-26,35478.666666666664
1_5_2012-11-02,32046.74712643678
1_5_2012-11-09,30799.57471264368
1_5_2012-11-16,56211.574712643676
1_5_2012-11-23,66340.68965517242
1_5_2012-11-30,62290.31034482759
1_5_2012-12-07,27037.22988505747
1_5_2012-12-14,28927.97701149425
1_5_2012-12-21,27554.827586206895
1_5_2012-12-28,32154.931034482757
1_5_2013-01-04,32289.954022988506
1_5_2013-01-11,35916.35632183908
1_5_2013-01-18,28616.275862068964
1_5_2013-01-25,38184.137931034486
1_5_2013-02-01,30003.74712643678
1_5_2013-02-08,35995.862068965514
1_5_2013-02-15,43258.19540229885
1_5_2013-02-22,39195.252873563215
1_5_2013-03-01,30471.287356321838
1_5_2013-03-08,31353.850574712644
1_5_2013-03-15,26905.275862068964
1_5_2013-03-22,36792.58620689655
1_5_2013-03-29,39188.87356321839
1_5_2013-04-05,29699.632183908045
1_5_2013-04-12,25109.816091954024
1_5_2013-04-19,18471.42528735632
1_5_2013-04-26,30640.94252873563
1_5_2013-05-03,22614.436781609194
1_5_2013-05-10,25532.827586206895
1_5_2013-05-17,22574.597701149425
1_5_2013-05-24,30109.402298850575
1_5_2013-05-31,19614.402298850575
1_5_2013-06-07,21280.57471264368
1_5_2013-06-14,20164.02298850575
1_5_2013-06-21,18347.16091954023
1_5_2013-06-28,16422.045977011494
1_5_2013-07-05,37324.70114942529
1_5_2013-07-12,18665.908045977012
1_5_2013-07-19,19373.64367816092
1_5_2013-07-26,17064.74712643678
1_6_2012-11-02,4558.183908045977
1_6_2012-11-09,3809.425287356322
1_6_2012-11-16,7355.057471264367
1_6_2012-11-23,21901.22988505747
1_6_2012-11-30,19352.459770114943
1_6_2012-12-07,4445.908045977011
1_6_2012-12-14,4927.942528735633
1_6_2012-12-21,4990.057471264367
1_6_2012-12-28,12466.540229885057
1_6_2013-01-04,3651.2183908045977
1_6_2013-01-11,4233.597701149425
1_6_2013-01-18,3452.425287356322
1_6_2013-01-25,4148.942528735633
1_6_2013-02-01,4912.114942528736
1_6_2013-02-08,5986.816091954023
1_6_2013-02-15,4755.793103448276
1_6_2013-02-22,4273.19540229885
1_6_2013-03-01,3911.597701149425
1_6_2013-03-08,4371.068965517241
1_6_2013-03-15,4006.4827586206898
1_6_2013-03-22,5482.241379310345
1_6_2013-03-29,7099.873563218391
1_6_2013-04-05,4638.149425287356
1_6_2013-04-12,3621.5057471264367
1_6_2013-04-19,4336.022988505747
1_6_2013-04-26,4165.873563218391
1_6_2013-05-03,4012.9540229885056
1_6_2013-05-10,4263.241379310345
1_6_2013-05-17,3654.9080459770116
1_6_2013-05-24,9312.114942528735
1_6_2013-05-31,6087.275862068966
1_6_2013-06-07,3742.609195402299
1_6_2013-06-14,4370.390804597701
1_6_2013-06-21,4632.045977011494
1_6_2013-06-28,2715.3333333333335
1_6_2013-07-05,6681.436781609195
1_6_2013-07-12,3463.183908045977
1_6_2013-07-19,3779.4827586206898
1_6_2013-07-26,3170.2988505747126
1_7_2012-11-02,15937.574712643678
1_7_2012-11-09,17117.724137931036
1_7_2012-11-16,39431.45977011494
1_7_2012-11-23,74178.94252873563
1_7_2012-11-30,66137.77011494253
1_7_2012-12-07,26471.83908045977
1_7_2012-12-14,23899.655172413793
1_7_2012-12-21,34979.96551724138
1_7_2012-12-28,32847.71264367816
1_7_2013-01-04,16675.712643678162
1_7_2013-01-11,23893.735632183907
1_7_2013-01-18,18021.436781609194
1_7_2013-01-25,24753.459770114943
1_7_2013-02-01,22221.22988505747
1_7_2013-02-08,28625.563218390806
1_7_2013-02-15,26214.655172413793
1_7_2013-02-22,24664.011494252874
1_7_2013-03-01,21413.908045977012
1_7_2013-03-08,22499.333333333332
1_7_2013-03-15,19407.563218390806
1_7_2013-03-22,44860.471264367814
1_7_2013-03-29,51854.206896551725
1_7_2013-04-05,43445.724137931036
1_7_2013-04-12,19082.494252873563
1_7_2013-04-19,26616.954022988506
1_7_2013-04-26,24224.7816091954
1_7_2013-05-03,25912.402298850575
1_7_2013-05-10,19342.344827586207
1_7_2013-05-17,19547.287356321838
1_7_2013-05-24,47514.64367816092
1_7_2013-05-31,53467.58620689655
1_7_2013-06-07,23748.620689655174
1_7_2013-06-14,34047.0459770115
1_7_2013-06-21,36003.793103448275
1_7_2013-06-28,18991.333333333332
1_7_2013-07-05,58622.816091954024
1_7_2013-07-12,25078.03448275862
1_7_2013-07-19,24741.620689655174
1_7_2013-07-26,19595.896551724138
1_8_2012-11-02,40336.425287356324
1_8_2012-11-09,37409.83908045977
1_8_2012-11-16,37146.80459770115
1_8_2012-11-23,38038.28735632184
1_8_2012-11-30,38777.1724137931
1_8_2012-12-07,40077.32183908046
1_8_2012-12-14,37460.574712643676
1_8_2012-12-21,35193.32183908046
1_8_2012-12-28,34153.68965517241
1_8_2013-01-04,38843.7816091954
1_8_2013-01-11,36321.747126436785
1_8_2013-01-18,36162.64367816092
1_8_2013-01-25,36765.597701149425
1_8_2013-02-01,40164.471264367814
1_8_2013-02-08,38413.70114942529
1_8_2013-02-15,37222.02298850575
1_8_2013-02-22,37009.83908045977
1_8_2013-03-01,36812.3908045977
1_8_2013-03-08,37622.89655172414
1_8_2013-03-15,37356.183908045976
1_8_2013-03-22,43964.48275862069
1_8_2013-03-29,36507.65517241379
1_8_2013-04-05,38722.137931034486
1_8_2013-04-12,36540.3908045977
1_8_2013-04-19,36957.50574712644
1_8_2013-04-26,36213.31034482759
1_8_2013-05-03,38593.49425287356
1_8_2013-05-10,37174.11494252874
1_8_2013-05-17,36907.70114942529
1_8_2013-05-24,38049.58620689655
1_8_2013-05-31,37892.96551724138
1_8_2013-06-07,38542.19540229885
1_8_2013-06-14,36131.35632183908
1_8_2013-06-21,36147.54022988506
1_8_2013-06-28,37028.666666666664
1_8_2013-07-05,52337.50574712644
1_8_2013-07-12,35800.51724137931
1_8_2013-07-19,36100.2183908046
1_8_2013-07-26,34887.88505747126
1_9_2012-11-02,31359.05747126437
1_9_2012-11-09,29658.850574712644
1_9_2012-11-16,26904.149425287356
1_9_2012-11-23,35901.50574712644
1_9_2012-11-30,38695.0459770115
1_9_2012-12-07,33205.36781609195
1_9_2012-12-14,22318.83908045977
1_9_2012-12-21,29020.793103448275
1_9_2012-12-28,21156.41379310345
1_9_2013-01-04,19384.97701149425
1_9_2013-01-11,22380.137931034482
1_9_2013-01-18,16013.356321839081
1_9_2013-01-25,23273.6091954023
1_9_2013-02-01,29233.41379310345
1_9_2013-02-08,29577.03448275862
1_9_2013-02-15,21581.540229885057
1_9_2013-02-22,20550.206896551725
1_9_2013-03-01,20684.563218390806
1_9_2013-03-08,21912.126436781607
1_9_2013-03-15,33322.58620689655
1_9_2013-03-22,33841.02298850575
1_9_2013-03-29,33334.14942528736
1_9_2013-04-05,35597.03448275862
1_9_2013-04-12,29296.068965517243
1_9_2013-04-19,31691.137931034482
1_9_2013-04-26,30853.689655172413
1_9_2013-05-03,31145.793103448275
1_9_2013-05-10,32892.64367816092
1_9_2013-05-17,32488.298850574713
1_9_2013-05-24,30478.114942528737
1_9_2013-05-31,37619.747126436785
1_9_2013-06-07,32116.58620689655
1_9_2013-06-14,27781.114942528737
1_9_2013-06-21,27237.275862068964
1_9_2013-06-28,24519.954022988506
1_9_2013-07-05,31656.287356321838
1_9_2013-07-12,27410.988505747126
1_9_2013-07-19,27832.666666666668
1_9_2013-07-26,24986.183908045976
1_10_2012-11-02,33045.2183908046
1_10_2012-11-09,32899.379310344826
1_10_2012-11-16,29326.011494252874
1_10_2012-11-23,32656.96551724138
1_10_2012-11-30,35397.58620689655
1_10_2012-12-07,32508.735632183907
1_10_2012-12-14,27306.459770114943
1_10_2012-12-21,29935.793103448275
1_10_2012-12-28,26995.241379310344
1_10_2013-01-04,32430.183908045976
1_10_2013-01-11,28942.206896551725
1_10_2013-01-18,26888.19540229885
1_10_2013-01-25,28291.3908045977
1_10_2013-02-01,33982.988505747126
1_10_2013-02-08,33332.54022988506
1_10_2013-02-15,32775.97701149425
1_10_2013-02-22,32489.287356321838
1_10_2013-03-01,29679.632183908045
1_10_2013-03-08,28515.344827586207
1_10_2013-03-15,32791.666666666664
1_10_2013-03-22,33028.0
1_10_2013-03-29,30697.48275862069
1_10_2013-04-05,34495.402298850575
1_10_2013-04-12,29856.735632183907
1_10_2013-04-19,30188.666666666668
1_10_2013-04-26,30740.16091954023
1_10_2013-05-03,32523.597701149425
1_10_2013-05-10,32142.80459770115
1_10_2013-05-17,31573.068965517243
1_10_2013-05-24,32389.045977011494
1_10_2013-05-31,33819.32183908046
1_10_2013-06-07,34000.9540229885
1_10_2013-06-14,32007.827586206895
1_10_2013-06-21,31587.505747126437
1_10_2013-06-28,31297.896551724138
1_10_2013-07-05,34907.206896551725
1_10_2013-07-12,32557.25287356322
1_10_2013-07-19,30577.827586206895
1_10_2013-07-26,29792.55172413793
1_11_2012-11-02,24932.758620689656
1_11_2012-11-09,24383.48275862069
1_11_2012-11-16,29012.988505747126
1_11_2012-11-23,29055.091954022988
1_11_2012-11-30,28867.35632183908
1_11_2012-12-07,29674.275862068964
1_11_2012-12-14,28501.367816091955
1_11_2012-12-21,27281.103448275862
1_11_2012-12-28,24995.091954022988
1_11_2013-01-04,25210.3908045977
1_11_2013-01-11,24723.528735632182
1_11_2013-01-18,22892.758620689656
1_11_2013-01-25,23388.885057471263
1_11_2013-02-01,29263.80459770115
1_11_2013-02-08,30031.563218390806
1_11_2013-02-15,25035.471264367818
1_11_2013-02-22,24641.6091954023
1_11_2013-03-01,24395.83908045977
1_11_2013-03-08,30053.05747126437
1_11_2013-03-15,24065.873563218393
1_11_2013-03-22,29222.137931034482
1_11_2013-03-29,28445.83908045977
1_11_2013-04-05,26099.103448275862
1_11_2013-04-12,22126.494252873563
1_11_2013-04-19,27319.379310344826
1_11_2013-04-26,27039.655172413793
1_11_2013-05-03,29510.045977011494
1_11_2013-05-10,23495.48275862069
1_11_2013-05-17,24838.988505747126
1_11_2013-05-24,28852.724137931036
1_11_2013-05-31,28291.275862068964
1_11_2013-06-07,30283.6091954023
1_11_2013-06-14,29395.16091954023
1_11_2013-06-21,28624.597701149425
1_11_2013-06-28,27560.528735632182
1_11_2013-07-05,28008.58620689655
1_11_2013-07-12,30322.58620689655
1_11_2013-07-19,28333.091954022988
1_11_2013-07-26,25277.67816091954
1_12_2012-11-02,9907.793103448275
1_12_2012-11-09,10607.264367816091
1_12_2012-11-16,8326.425287356322
1_12_2012-11-23,9829.3908045977
1_12_2012-11-30,9075.574712643678
1_12_2012-12-07,11310.701149425287
1_12_2012-12-14,7781.64367816092
1_12_2012-12-21,10505.011494252874
1_12_2012-12-28,7744.80459770115
1_12_2013-01-04,8160.735632183908
1_12_2013-01-11,7896.563218390805
1_12_2013-01-18,8012.19540229885
1_12_2013-01-25,9382.034482758621
1_12_2013-02-01,10624.034482758621
1_12_2013-02-08,10601.0
1_12_2013-02-15,8890.6091954023
1_12_2013-02-22,8520.758620689656
1_12_2013-03-01,7977.206896551724
1_12_2013-03-08,7930.862068965517
1_12_2013-03-15,10186.080459770115
1_12_2013-03-22,11242.19540229885
1_12_2013-03-29,9170.528735632184
1_12_2013-04-05,10586.632183908046
1_12_2013-04-12,10200.494252873563
1_12_2013-04-19,10955.045977011494
1_12_2013-04-26,10134.333333333334
1_12_2013-05-03,11376.16091954023
1_12_2013-05-10,10731.333333333334
1_12_2013-05-17,10773.275862068966
1_12_2013-05-24,11087.356321839081
1_12_2013-05-31,9929.528735632184
1_12_2013-06-07,11138.643678160919
1_12_2013-06-14,11086.574712643678
1_12_2013-06-21,11296.954022988506
1_12_2013-06-28,10956.218390804597
1_12_2013-07-05,11412.850574712644
1_12_2013-07-12,11440.252873563219
1_12_2013-07-19,10847.770114942528
1_12_2013-07-26,10260.988505747126
1_13_2012-11-02,43437.03448275862
1_13_2012-11-09,39967.88505747126
1_13_2012-11-16,37276.10344827586
1_13_2012-11-23,36822.85057471264
1_13_2012-11-30,35412.0
1_13_2012-12-07,42860.333333333336
1_13_2012-12-14,37329.36781609195
1_13_2012-12-21,36889.63218390805
1_13_2012-12-28,34758.02298850575
1_13_2013-01-04,39060.574712643676
1_13_2013-01-11,38050.14942528736
1_13_2013-01-18,36397.67816091954
1_13_2013-01-25,36624.03448275862
1_13_2013-02-01,43434.41379310345
1_13_2013-02-08,42549.02298850575
1_13_2013-02-15,38743.528735632186
1_13_2013-02-22,38696.12643678161
1_13_2013-03-01,37772.10344827586
1_13_2013-03-08,39789.402298850575
1_13_2013-03-15,38224.666666666664
1_13_2013-03-22,38149.31034482759
1_13_2013-03-29,35350.06896551724
1_13_2013-04-05,41528.011494252874
1_13_2013-04-12,37985.63218390805
1_13_2013-04-19,37903.48275862069
1_13_2013-04-26,37599.471264367814
1_13_2013-05-03,39939.65517241379
1_13_2013-05-10,38852.4367816092
1_13_2013-05-17,39006.64367816092
1_13_2013-05-24,38910.80459770115
1_13_2013-05-31,38341.03448275862
1_13_2013-06-07,40839.83908045977
1_13_2013-06-14,39285.3908045977
1_13_2013-06-21,39398.45977011494
1_13_2013-06-28,39671.7816091954
1_13_2013-07-05,43537.91954022989
1_13_2013-07-12,39135.36781609195
1_13_2013-07-19,38950.793103448275
1_13_2013-07-26,38081.36781609195
1_14_2012-11-02,15382.574712643678
1_14_2012-11-09,15200.459770114943
1_14_2012-11-16,28636.816091954024
1_14_2012-11-23,37761.942528735635
1_14_2012-11-30,33432.724137931036
1_14_2012-12-07,15406.816091954022
1_14_2012-12-14,18549.931034482757
1_14_2012-12-21,15070.67816091954
1_14_2012-12-28,21477.816091954024
1_14_2013-01-04,15719.379310344828
1_14_2013-01-11,17366.494252873563
1_14_2013-01-18,14885.344827586207
1_14_2013-01-25,19393.045977011494
1_14_2013-02-01,16172.471264367816
1_14_2013-02-08,24726.080459770114
1_14_2013-02-15,21535.74712643678
1_14_2013-02-22,24790.77011494253
1_14_2013-03-01,16360.367816091954
1_14_2013-03-08,17485.931034482757
1_14_2013-03-15,13909.954022988506
1_14_2013-03-22,15460.333333333334
1_14_2013-03-29,22925.505747126437
1_14_2013-04-05,16928.379310344826
1_14_2013-04-12,15501.6091954023
1_14_2013-04-19,15242.356321839081
1_14_2013-04-26,18227.827586206895
1_14_2013-05-03,15133.71264367816
1_14_2013-05-10,14635.310344827587
1_14_2013-05-17,12763.781609195403
1_14_2013-05-24,17054.528735632182
1_14_2013-05-31,16399.55172413793
1_14_2013-06-07,15245.80459770115
1_14_2013-06-14,16113.816091954022
1_14_2013-06-21,16453.32183908046
1_14_2013-06-28,12754.137931034482
1_14_2013-07-05,18170.298850574713
1_14_2013-07-12,16031.011494252874
1_14_2013-07-19,14859.402298850575
1_14_2013-07-26,13612.206896551725
1_16_2012-11-02,16838.02298850575
1_16_2012-11-09,17897.03448275862
1_16_2012-11-16,11205.988505747126
1_16_2012-11-23,14960.068965517241
1_16_2012-11-30,13207.655172413793
1_16_2012-12-07,41652.988505747126
1_16_2012-12-14,10434.80459770115
1_16_2012-12-21,16771.068965517243
1_16_2012-12-28,5768.885057471264
1_16_2013-01-04,7630.919540229885
1_16_2013-01-11,14428.51724137931
1_16_2013-01-18,8170.287356321839
1_16_2013-01-25,18509.6091954023
1_16_2013-02-01,22241.850574712644
1_16_2013-02-08,14494.942528735632
1_16_2013-02-15,11434.620689655172
1_16_2013-02-22,12809.367816091954
1_16_2013-03-01,21669.597701149425
1_16_2013-03-08,11495.402298850575
1_16_2013-03-15,19336.6091954023
1_16_2013-03-22,24603.57471264368
1_16_2013-03-29,8518.275862068966
1_16_2013-04-05,13501.850574712644
1_16_2013-04-12,11173.965517241379
1_16_2013-04-19,39410.29885057471
1_16_2013-04-26,17453.758620689656
1_16_2013-05-03,43021.35632183908
1_16_2013-05-10,19228.96551724138
1_16_2013-05-17,20768.25287356322
1_16_2013-05-24,37223.206896551725
1_16_2013-05-31,35220.9540229885
1_16_2013-06-07,39633.057471264365
1_16_2013-06-14,36849.41379310345
1_16_2013-06-21,34258.36781609195
1_16_2013-06-28,26525.42528735632
1_16_2013-07-05,39665.8275862069
1_16_2013-07-12,36380.83908045977
1_16_2013-07-19,34688.597701149425
1_16_2013-07-26,26886.19540229885
1_17_2012-11-02,8713.080459770115
1_17_2012-11-09,9195.252873563219
1_17_2012-11-16,11326.379310344828
1_17_2012-11-23,25251.114942528737
1_17_2012-11-30,17421.7816091954
1_17_2012-12-07,8950.67816091954
1_17_2012-12-14,10076.413793103447
1_17_2012-12-21,9188.057471264368
1_17_2012-12-28,9669.758620689656
1_17_2013-01-04,9792.333333333334
1_17_2013-01-11,10174.51724137931
1_17_2013-01-18,11177.597701149425
1_17_2013-01-25,11854.67816091954
1_17_2013-02-01,8965.655172413793
1_17_2013-02-08,9247.908045977012
1_17_2013-02-15,9923.241379310344
1_17_2013-02-22,9742.425287356322
1_17_2013-03-01,9766.666666666666
1_17_2013-03-08,9640.32183908046
1_17_2013-03-15,9726.022988505747
1_17_2013-03-22,9319.71264367816
1_17_2013-03-29,9570.781609195403
1_17_2013-04-05,10095.448275862069
1_17_2013-04-12,8734.425287356322
1_17_2013-04-19,8344.747126436781
1_17_2013-04-26,9544.16091954023
1_17_2013-05-03,7432.873563218391
1_17_2013-05-10,8961.183908045978
1_17_2013-05-17,8239.137931034482
1_17_2013-05-24,13081.068965517241
1_17_2013-05-31,8277.103448275862
1_17_2013-06-07,8107.3218390804595
1_17_2013-06-14,8205.114942528735
1_17_2013-06-21,8426.885057471265
1_17_2013-06-28,8323.183908045978
1_17_2013-07-05,15759.379310344828
1_17_2013-07-12,8027.6781609195405
1_17_2013-07-19,7734.068965517241
1_17_2013-07-26,7693.494252873563
1_18_2012-11-02,3090.0344827586205
1_18_2012-11-09,6822.218390804598
1_18_2012-11-16,16551.344827586207
1_18_2012-11-23,46828.48275862069
1_18_2012-11-30,32244.206896551725
1_18_2012-12-07,9445.356321839081
1_18_2012-12-14,10521.103448275862
1_18_2012-12-21,16143.12643678161
1_18_2012-12-28,24749.632183908045
1_18_2013-01-04,7385.310344827586
1_18_2013-01-11,5662.218390804598
1_18_2013-01-18,9018.218390804597
1_18_2013-01-25,2010.2988505747126
1_18_2013-02-01,10091.597701149425
1_18_2013-02-08,18471.0
1_18_2013-02-15,10334.620689655172
1_18_2013-02-22,6906.6781609195405
1_18_2013-03-01,2959.9655172413795
1_18_2013-03-08,12810.275862068966
1_18_2013-03-15,7400.850574712644
1_18_2013-03-22,12055.241379310344
1_18_2013-03-29,18806.045977011494
1_18_2013-04-05,15389.965517241379
1_18_2013-04-12,9811.747126436781
1_18_2013-04-19,11073.12643678161
1_18_2013-04-26,11399.540229885057
1_18_2013-05-03,9379.597701149425
1_18_2013-05-10,8354.379310344828
1_18_2013-05-17,4738.471264367816
1_18_2013-05-24,21375.505747126437
1_18_2013-06-07,914.1034482758621
1_18_2013-07-05,39477.89655172414
1_19_2012-11-02,889.6551724137931
1_19_2012-11-09,885.2298850574713
1_19_2012-11-16,1173.8045977011495
1_19_2012-11-23,1366.9540229885058
1_19_2012-11-30,1739.8735632183907
1_19_2012-12-07,1217.5862068965516
1_19_2012-12-14,1261.4022988505747
1_19_2012-12-21,1306.8045977011495
1_19_2012-12-28,867.8505747126437
1_19_2013-01-04,761.9540229885057
1_19_2013-01-11,822.6666666666666
1_19_2013-01-18,903.2068965517242
1_19_2013-01-25,1451.367816091954
1_19_2013-02-01,984.0344827586207
1_19_2013-02-08,1121.8735632183907
1_19_2013-02-15,806.471264367816
1_19_2013-02-22,850.3908045977012
1_19_2013-03-01,1038.655172413793
1_19_2013-03-08,1126.712643678161
1_19_2013-03-15,1214.7356321839081
1_19_2013-03-22,1207.4942528735633
1_19_2013-03-29,1830.3563218390805
1_19_2013-04-05,1000.8275862068965
1_19_2013-04-12,957.735632183908
1_19_2013-04-19,1190.0689655172414
1_19_2013-04-26,1392.7701149425288
1_19_2013-05-03,1237.9310344827586
1_19_2013-05-10,1256.9310344827586
1_19_2013-05-17,1300.4022988505747
1_19_2013-05-24,1199.5402298850574
1_19_2013-05-31,1108.183908045977
1_19_2013-06-07,1098.2643678160919
1_19_2013-06-14,1078.9885057471265
1_19_2013-06-21,1068.5862068965516
1_19_2013-06-28,1079.4827586206898
1_19_2013-07-05,1364.448275862069
1_19_2013-07-12,1026.3563218390805
1_19_2013-07-19,1004.4252873563219
1_19_2013-07-26,1025.3103448275863
1_20_2012-11-02,3962.942528735632
1_20_2012-11-09,4450.908045977011
1_20_2012-11-16,3717.2183908045977
1_20_2012-11-23,5434.471264367816
1_20_2012-11-30,4860.402298850575
1_20_2012-12-07,3959.4712643678163
1_20_2012-12-14,4086.206896551724
1_20_2012-12-21,4158.80459770115
1_20_2012-12-28,3996.735632183908
1_20_2013-01-04,4226.862068965517
1_20_2013-01-11,4731.494252873563
1_20_2013-01-18,4299.586206896552
1_20_2013-01-25,4144.310344827586
1_20_2013-02-01,4663.0
1_20_2013-02-08,4906.275862068966
1_20_2013-02-15,5201.540229885058
1_20_2013-02-22,5100.540229885058
1_20_2013-03-01,4057.114942528736
1_20_2013-03-08,4306.494252873563
1_20_2013-03-15,4394.689655172414
1_20_2013-03-22,4740.091954022989
1_20_2013-03-29,3947.4597701149423
1_20_2013-04-05,4257.19540229885
1_20_2013-04-12,3393.942528735632
1_20_2013-04-19,4224.620689655172
1_20_2013-04-26,4318.172413793103
1_20_2013-05-03,3848.8275862068967
1_20_2013-05-10,4180.310344827586
1_20_2013-05-17,4461.724137931034
1_20_2013-05-24,5090.517241379311
1_20_2013-05-31,4706.885057471264
1_20_2013-06-07,4002.310344827586
1_20_2013-06-14,4414.379310344828
1_20_2013-06-21,4531.666666666667
1_20_2013-06-28,4301.390804597701
1_20_2013-07-05,5728.64367816092
1_20_2013-07-12,4543.9655172413795
1_20_2013-07-19,4172.873563218391
